Remove Pin from Net: Failed to remove Pin
Remove Pin from Net: Failed to remove Pin
Remove Pin from Net: Unknown Pin: Pin T?-1
Remove Pin from Net: Unknown Pin: Pin T?-2
Change Component Kind : Designator=J? Old Kind=Standard New Kind=Standard
Change component parameters: Designator = "J?" ("J?"); Footprint = "TP_1x2mm_UN1Q"; UniqueID = "\SCPGRQXY" ("\SCPGRQXY")
Change component parameters (AddParameter): Name = "ComponentLink4URL"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Creation date"; Value = "15042024"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Dimensions WxLxH"; Value = "1.17 x 0.77 x 0.60mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ECCN"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "HasBeenBuilt"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer"; Value = "Nexperia"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer Part Number"; Value = "PCMF1USB3SZ"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Operating temperature range"; Value = "-40 ... +125 °C"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Package"; Value = "WLCSP5"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Part Number"; Value = "PCMF1USB3SZ"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Remark"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "RoHS"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Sort order"; Value = "441"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Source"; Value = "UUDET_KOMPONENTIT.SchLib"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "System"; Value = "Discrete"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Value"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Voltage"; Value = ""; VariantName = "[No Variations]"
Added Component: Designator=1?(TVS_0201_EZAEG)
Add component (AddParameter): Name = "Alternative component"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ClassName"; Value = "SMALL"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Component Type"; Value = "ESD & EMI"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink1Description"; Value = "1_Datasheet"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink1URL"; Value = "https://industrial.panasonic.com/ww/products/pt/esd-suppressor/models/EZAEG1N50AC"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink2Description"; Value = "2_Product page"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink2URL"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink3Description"; Value = "3_X-information"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink3URL"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink4Description"; Value = "4_X-information"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink4URL"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Creation date"; Value = "17102023"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Dimensions WxLxH"; Value = "0.33 mm x 0.63mm x 0.26mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ECCN"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "HasBeenBuilt"; Value = "False"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer"; Value = "Panasonic"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer Part Number"; Value = "EZAEG1N50AC"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Operating temperature range"; Value = "-55C ... +125C"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Package"; Value = "0201"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Part Number"; Value = "EZAEG1N50AC"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Remark"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "RoHS"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Sort order"; Value = "402"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Source"; Value = "Discrete_UN1Q.SchLib"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "System"; Value = "Discrete"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Value"; Value = "0.04pF"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Voltage"; Value = "30V"; VariantName = "[No Variations]"
Added Component: Designator=?(TVS_0201_EZAEG)
Add component (AddParameter): Name = "Alternative component"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ClassName"; Value = "SMALL"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Component Type"; Value = "ESD & EMI"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink1Description"; Value = "1_Datasheet"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink1URL"; Value = "https://industrial.panasonic.com/ww/products/pt/esd-suppressor/models/EZAEG1N50AC"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink2Description"; Value = "2_Product page"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink2URL"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink3Description"; Value = "3_X-information"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink3URL"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink4Description"; Value = "4_X-information"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink4URL"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Creation date"; Value = "17102023"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Dimensions WxLxH"; Value = "0.33 mm x 0.63mm x 0.26mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ECCN"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "HasBeenBuilt"; Value = "False"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer"; Value = "Panasonic"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer Part Number"; Value = "EZAEG1N50AC"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Operating temperature range"; Value = "-55C ... +125C"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Package"; Value = "0201"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Part Number"; Value = "EZAEG1N50AC"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Remark"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "RoHS"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Sort order"; Value = "402"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Source"; Value = "Discrete_UN1Q.SchLib"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "System"; Value = "Discrete"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Value"; Value = "0.04pF"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Voltage"; Value = "30V"; VariantName = "[No Variations]"
Added Component: Designator=?(TVS_0201_EZAEG)
Add component (AddParameter): Name = "Alternative component"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ClassName"; Value = "SMALL"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Component Type"; Value = "ESD & EMI"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink1Description"; Value = "1_Datasheet"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink1URL"; Value = "https://industrial.panasonic.com/ww/products/pt/esd-suppressor/models/EZAEG1N50AC"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink2Description"; Value = "2_Product page"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink2URL"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink3Description"; Value = "3_X-information"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink3URL"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink4Description"; Value = "4_X-information"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink4URL"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Creation date"; Value = "17102023"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Dimensions WxLxH"; Value = "0.33 mm x 0.63mm x 0.26mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ECCN"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "HasBeenBuilt"; Value = "False"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer"; Value = "Panasonic"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer Part Number"; Value = "EZAEG1N50AC"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Operating temperature range"; Value = "-55C ... +125C"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Package"; Value = "0201"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Part Number"; Value = "EZAEG1N50AC"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Remark"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "RoHS"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Sort order"; Value = "402"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Source"; Value = "Discrete_UN1Q.SchLib"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "System"; Value = "Discrete"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Value"; Value = "0.04pF"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Voltage"; Value = "30V"; VariantName = "[No Variations]"
Added Component: Designator=?(TVS_0201_EZAEG)
Add component (AddParameter): Name = "Alternative component"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ClassName"; Value = "SMALL"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Component Type"; Value = "ESD & EMI"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink1Description"; Value = "1_Datasheet"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink1URL"; Value = "https://industrial.panasonic.com/ww/products/pt/esd-suppressor/models/EZAEG1N50AC"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink2Description"; Value = "2_Product page"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink2URL"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink3Description"; Value = "3_X-information"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink3URL"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink4Description"; Value = "4_X-information"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink4URL"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Creation date"; Value = "17102023"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Dimensions WxLxH"; Value = "0.33 mm x 0.63mm x 0.26mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ECCN"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "HasBeenBuilt"; Value = "False"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer"; Value = "Panasonic"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer Part Number"; Value = "EZAEG1N50AC"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Operating temperature range"; Value = "-55C ... +125C"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Package"; Value = "0201"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Part Number"; Value = "EZAEG1N50AC"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Remark"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "RoHS"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Sort order"; Value = "402"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Source"; Value = "Discrete_UN1Q.SchLib"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "System"; Value = "Discrete"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Value"; Value = "0.04pF"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Voltage"; Value = "30V"; VariantName = "[No Variations]"
Added Component: Designator=?(TVS_0201_EZAEG)
Add component (AddParameter): Name = "Alternative component"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ClassName"; Value = "SMALL"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Component Type"; Value = "ESD & EMI"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink1Description"; Value = "1_Datasheet"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink1URL"; Value = "https://industrial.panasonic.com/ww/products/pt/esd-suppressor/models/EZAEG1N50AC"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink2Description"; Value = "2_Product page"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink2URL"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink3Description"; Value = "3_X-information"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink3URL"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink4Description"; Value = "4_X-information"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink4URL"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Creation date"; Value = "17102023"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Dimensions WxLxH"; Value = "0.33 mm x 0.63mm x 0.26mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ECCN"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "HasBeenBuilt"; Value = "False"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer"; Value = "Panasonic"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer Part Number"; Value = "EZAEG1N50AC"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Operating temperature range"; Value = "-55C ... +125C"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Package"; Value = "0201"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Part Number"; Value = "EZAEG1N50AC"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Remark"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "RoHS"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Sort order"; Value = "402"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Source"; Value = "Discrete_UN1Q.SchLib"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "System"; Value = "Discrete"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Value"; Value = "0.04pF"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Voltage"; Value = "30V"; VariantName = "[No Variations]"
Added Component: Designator=?(TVS_0201_EZAEG)
Add component (AddParameter): Name = "Alternative component"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ClassName"; Value = "SMALL"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Component Type"; Value = "ESD & EMI"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink1Description"; Value = "1_Datasheet"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink1URL"; Value = "https://industrial.panasonic.com/ww/products/pt/esd-suppressor/models/EZAEG1N50AC"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink2Description"; Value = "2_Product page"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink2URL"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink3Description"; Value = "3_X-information"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink3URL"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink4Description"; Value = "4_X-information"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink4URL"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Creation date"; Value = "17102023"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Dimensions WxLxH"; Value = "0.33 mm x 0.63mm x 0.26mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ECCN"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "HasBeenBuilt"; Value = "False"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer"; Value = "Panasonic"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer Part Number"; Value = "EZAEG1N50AC"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Operating temperature range"; Value = "-55C ... +125C"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Package"; Value = "0201"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Part Number"; Value = "EZAEG1N50AC"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Remark"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "RoHS"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Sort order"; Value = "402"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Source"; Value = "Discrete_UN1Q.SchLib"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "System"; Value = "Discrete"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Value"; Value = "0.04pF"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Voltage"; Value = "30V"; VariantName = "[No Variations]"
Added Component: Designator=?(TVS_0201_EZAEG)
Add component (AddParameter): Name = "Alternative component"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ClassName"; Value = "SMALL"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Component Type"; Value = "ESD & EMI"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink1Description"; Value = "1_Datasheet"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink1URL"; Value = "https://industrial.panasonic.com/ww/products/pt/esd-suppressor/models/EZAEG1N50AC"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink2Description"; Value = "2_Product page"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink2URL"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink3Description"; Value = "3_X-information"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink3URL"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink4Description"; Value = "4_X-information"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink4URL"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Creation date"; Value = "17102023"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Dimensions WxLxH"; Value = "0.33 mm x 0.63mm x 0.26mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ECCN"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "HasBeenBuilt"; Value = "False"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer"; Value = "Panasonic"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer Part Number"; Value = "EZAEG1N50AC"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Operating temperature range"; Value = "-55C ... +125C"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Package"; Value = "0201"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Part Number"; Value = "EZAEG1N50AC"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Remark"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "RoHS"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Sort order"; Value = "402"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Source"; Value = "Discrete_UN1Q.SchLib"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "System"; Value = "Discrete"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Value"; Value = "0.04pF"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Voltage"; Value = "30V"; VariantName = "[No Variations]"
Added Component: Designator=?(TVS_0201_EZAEG)
Add component (AddParameter): Name = "Alternative component"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ClassName"; Value = "SMALL"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Component Type"; Value = "ESD & EMI"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink1Description"; Value = "1_Datasheet"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink1URL"; Value = "https://industrial.panasonic.com/ww/products/pt/esd-suppressor/models/EZAEG1N50AC"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink2Description"; Value = "2_Product page"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink2URL"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink3Description"; Value = "3_X-information"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink3URL"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink4Description"; Value = "4_X-information"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink4URL"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Creation date"; Value = "17102023"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Dimensions WxLxH"; Value = "0.33 mm x 0.63mm x 0.26mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ECCN"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "HasBeenBuilt"; Value = "False"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer"; Value = "Panasonic"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer Part Number"; Value = "EZAEG1N50AC"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Operating temperature range"; Value = "-55C ... +125C"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Package"; Value = "0201"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Part Number"; Value = "EZAEG1N50AC"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Remark"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "RoHS"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Sort order"; Value = "402"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Source"; Value = "Discrete_UN1Q.SchLib"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "System"; Value = "Discrete"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Value"; Value = "0.04pF"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Voltage"; Value = "30V"; VariantName = "[No Variations]"
Added Component: Designator=C?(CAP_0402_UN1Q)
Add component (AddParameter): Name = "Alternative component"; Value = "Allowed"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ClassName"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Component Type"; Value = "Capacitor"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink1Description"; Value = "1_Datasheet"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink1URL"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink2Description"; Value = "2_Product page"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink2URL"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink3Description"; Value = "3_X-information"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink3URL"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink4Description"; Value = "4_X-information"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink4URL"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink5Description"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink5URL"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Creation date"; Value = "20190101"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Dimensions WxLxH"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ECCN"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "HasBeenBuilt"; Value = "TBD"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer"; Value = "Murata"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer Part Number"; Value = "GRM155R71H104KE14D"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Operating temperature range"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Package"; Value = "0402"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Part Number"; Value = "GRM155R71H104KE14D"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Remark"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "RoHS"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Sort order"; Value = "304"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Source"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "System"; Value = "RLC"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Temperature characteristics"; Value = "X7R"; VariantName = "[No Variations]"
